type,name,label::English,label::Hausa,label::Kanuri,hint::English,hint::Hausa,hint::Kanuri,required,choice_filter,appearance,relevant,constraint,constraint_message::English,constraint_message::Hausa,constraint_message::Kanuri,repeat_count,calculation,default
note,noteeducation,Here we want to ask about children's ability to find educational support in the community. ,Muna son yin tambaya akan yara da mata  ta yada zasu samu ilimi ko wasu taimakon agarinsu.,Na ad?n k?la duluwu nduli so ye futu bana ilmu mataye suwondainne koren. ,,,,,,,,,,,,,,
select_multiple education_barrier,education_barrier_main,What are the barriers your household faces with sending children in general to formal school?,Wane irin kalubale gidan ku ke fuskanta wajen tura yara makarantun gwamnati?,Kaz?yi jilifi so fann?mbe surin nduliya mowonti gomnatiye so d? ro zutaa lan?,,,,yes,,,,"not(selected(., 'no_barrier') and count-selected(.)>1) and not(selected(., '98') and count-selected(.)>1) and not(selected(., '99') and count-selected(.)>1) ",,,,,,
text,education_barrier_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${education_barrier_main}, '97')",,,,,,,
select_multiple education_barrier_girls,education_barrier_girls,What are the barriers your girl-child in particular faces with going to formal school?,Wace irin matsala yara matan gidan ku ke fuskanta wajen zuwa makarantar boko?,Kaz?yi jilifi fero n?mbe mowonti gomnatiye ro let?n surin?,,,,yes,,,,"not(selected(., 'no_barrier') and count-selected(.)>1) and not(selected(., '98') and count-selected(.)>1) and not(selected(., '99') and count-selected(.)>1) ",,,,,,
text,education_barrier_girls_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${education_barrier_girls}, '97')",,,,,,,
select_one cashforeducation,cash_education,"If your household were to receive support for education, what method of support would you prefer?","Idan da gidan ku zai samu tallafin karatu, wane irin tsarin tallafi kuke so?","Lamar ilmu ben fann?mbe bana suwondinno wallono maa, dulufi nyiye ra'am?",,,,yes,,,,,,,,,,
text,cash_education_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${cash_education}, '97')",,,,,,,
end group,education,,,,,,,,,,,,,,,,,
begin group,protection,,,,,,,,,,,,,,,,,
select_one cfs_type,cfs,"A child friendly space is any place in the community where children can go to play, learn or be children in a safe, supportive environment. 

Is there any place like this in your community?","Wurin da ya dace da yara, wuri ne a cikin al'umma wanda yara ke iya zuwa su yi wasa, da karatu, ko su samu natsuwa da jin dadin yanayin.                                                                                                                    Shin kuna da irin wannan yanayi a garin ku?","Na tada ro n?lewaa d? shima nda yaye suro nguroben na nduliye raksa leza biskezainne, awo salinne, n?m tadan nza sadinne, kuru na do awowa anyi lan sandiya banajinne. 

Na jili anyi yeyi mbeji wa suro nguro n?m ben?",,,,yes,,,,,,,,,,
text,cfs_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,${cfs}='97',,,,,,,
select_one yndk,cfs_access,Does your child have access to this place?,Yaran ku na samun zuwa wurin?,Tada n?m d? naa anyi ro duluwun nz? mbeji wa?,,,,yes,,,${cfs}='ngo_cfs' or ${cfs}='park' or ${cfs}='nursery' or ${cfs}='97',,,,,,,
select_one ffs_type,ffs,Is there a space in the community where girls and women can gather safely in the community?,Ko akwai wani wuri a cikin garin da mata da 'yan mata ke haduwa ba tare da wata fargaba ba?,Na laa taganasbe suro nguro ad?ben k?shaanawa-a ferowa-a n?lewaa lan samtain ma mbeji wa?,This means a space outside of their own household,Wannan yana nufin wurin da ba a cikin gidan yake ba,Ad?ye ma'an nz? nasha gade faton nguron,yes,,,,,,,,,,
text,ffs_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,${ffs}='97',,,,,,,
select_one yndk,ffs_access,Do women in your household have access to that space?,Ko matan gidan ku na samun damar zuwa wadannan wurare?,K?shaanawa fann?mbe duluwun nza na anyi ro mbeji wa?,,,,yes,,,${ffs}='ngo_ffs' or ${ffs}='community_women_support_group_' or ${ffs}='women_support_group_hh' or ${ffs}='sewing_group' or ${ffs}='97',,,,,,,
select_multiple mhpss_needs,mhpss_needs,"Within the past 2 weeks, how have you been feeling? Have you or someone in your household experienced any of the following? ","A cikin mako biyu da suka gabata, ko akwai wani a gidan ku da ya fuskanci daya daga cikin wadannan (A zabi wanda suka dace)","Suro mau 2 koz?nayen, nyiye au kam laa fandobe awowa anyi ndaso yaye sur?na wa? (awo sand?na d? karne)",Make sure to create an atmosphere where this can be shared. Select all that apply,A tabbatar an samar da yanayin da za a iya samun wannan. A zabi duk wadanda suka dace,Tawatk?g?ne futu sand?na ro dawarn?ma ro zande anyi rakt? na gade ro tart?nyinno. Awowa sand?na d? kart?,yes,,,,,,,,,,
note,noteprot,"This next question I will be asking about security incidents that may have happened to you or members of your household. If the questions I ask make you uncomfortable, you do not need to respond. ","Tambayoyin mu na gaba za su shafi matsalolin tsaron da wani daga cikin 'yan gidan ku ya fuskanta. Idan akwai tambayar da bata kwanta maku a rai ba, za ku iya tsallake ta","Koro fuwuye ad? k?la lamar nz?liwo yen nyi au kam laa fann?m ben wa'az?g?na ma. Koro ad? kar?g? n?m be s?rawanyi ro wallono maa, jawau k?njo nyi lan ba. ",,,,,,,,,,,,,,
select_one yndk,security_yn,"Has anyone in your household experienced any security incidents in the last three months by armed, community or other actors?","Ko wani daga cikin 'yan gidan ku ya fuskanci matsalar tsaro a cikin watanni uku da suka wuce, daga 'yan bindiga, ko mutananen yankin ku, ko wasu daban?","Fann?mben kam laa suro k?ntau 3 koz?na d?n lamar nz?liwoye sur?na na karapkaa balimiya yen, jami nguroyen au am gade ben mbeji wa?","Not only conflict-related incidents, but generally in the community too","Ba wai dole sai matsalolin da ke da alaka da rikici ba, har ma da na cikin al'umma","Awo d? fit?na so wuz?na bas g?nyi, amma suro nguroben wa'az?na yaye kal",yes,,,,,,,,,,
select_multiple security_incident,security_type,What was the security incident?,Mi ya faru da su?,Lamar nz?liwoye jilifi?,7,,,yes,,,${security_yn}='yes',"not(selected(.,'99') and count-selected(.) >1) and not(selected(.,'98') and count-selected(.) >1)",,,,,,
text,security_type_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${security_type}, '97')",,,,,,,
select_multiple incident_where,security_where,Where did this/these incident(s) take place?,A ina ne wannan abu ya faru?,Ndaran lamar ad? wa'ano?,DO READ CHOICES,KARANTA RA'AYOYIN,KARNOWA K?RANE,yes,,,${security_yn}='yes',,,,,,,
text,security_where_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,${security_where}='97',,,,,,,
integer,num_nodocs,"Of the ADULTS (18+) in the household, how many have NO form of legal documentation?",daga cikin manya (18+) mutum nawa ne ba shi da shi da takardar tattara bayanai?,"Shi do fato d?n d?gana ma, am ndawu kakkad? shadaye sharaye noz?na BA d??","Such as: Voter identification card, passport, ID car, birth certificate, driver's licence, secondary school certificate","Rubutattun bayanai sun hada da katin zabe, fasgo, katin shaida, takardar haihuwa,lasisin tuki, takardar shaidar kammala sakandire","Kakkadi shadaye sharaye noz?na ma d? suron nz?n mbeji: kat siyasaye, fasfot, ID kat, kakkadi shada tambobe, d?rabin laisis, kakkadi moronti sakandari tamot?naye",yes,,,,.<=(count(${hh_members})-${agegrp_0_18_sum}),That is more adults than were listed in the household. Please recheck your entry,Wannan ya fi 'ya'ya fiye da wa?anda aka jera a gidan. Don Allah a tantance shigarku,Ad?ye sa aulokkata so d? sandima fato d?n ngubu ro waljiya. Mart?ne walt?ne awo yikk?ma d? kulasne,,,
integer,birth_cert,"Of the CHILDREN (0-17) in the household, how many have NO birth certificate?",daga cikin Yara (0-17) mutum nawa ne ba shi da shi da takardar tattara bayanai?,"NDULI DO (saa 0 - 17 sad?na d?) suro fato d? ben, sandi ndawu nan nzan kakkadi tambobe BA wo?",,,,yes,,,${agegrp_3_18_sum}>0,.<=${agegrp_0_18_sum},That is more children than were listed in the household. Please recheck your entry,Wannan ya fi 'ya'ya fiye da wa?anda aka jera a gidan. Don Allah a tantance shigarku,Ad?ye nduli fato d? be isapt?na d?ga koz?naa. Mart?ne walt?ne awo yikk?ma d? kulasne,,,
select_multiple docs_challenges,doc_challenge,Have any members of your household faced challenges due to lack of documentation?,Ko wani daga gidan ku ya fuskanci wata matsala saboda rashin ajiyayyun bayanan su?,Ngalte yaye kam fann?mbe laa kaz?yi kakkadi ba nanka ro suruna wa?,,,,yes,,,,"not(selected(.,'99') and count-selected(.) >1) and not(selected(.,'98') and count-selected(.) >1) and not(selected(.,'1') and count-selected(.) >1)",,,,,,
text,doc_challenge_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${doc_challenge}, '97')",,,,,,,
select_one restricted,move_restriction_yn,Has anyone in your household experienced movement restrictions in your area in the last 3 months? ,Ko wani daga cikin gidan ku ya fuskanci matsalar hana yawo a cikin wata uku da suka wuce?,"Suro k?ntauwa 3 kozvna d?n, kam laa fann?m ben fomt? ro daptvna wa kor n?m d?n? ",,,,yes,,,,,,,,,,
text,move_restriction_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,${move_restriction_yn}='97',,,,,,,
select_one restriction_reason,reason_restriction,What are the reasons for your restricted movement?,Mine ne dalilin hana yawon?,Abi dalil fomno n?m dapt?ye wo?,,,,yes,,,${move_restriction_yn}='restriction_night' or ${move_restriction_yn}='restriction_large_group' or ${move_restriction_yn}='restriction_complete' or ${move_restriction_yn}='restriction_2km' or ${move_restriction_yn}='97',,,,,,,
text,reason_restriction_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,${reason_restriction}='97',,,,,,,
select_one yncamp,restriction_permit_needed,"[If YES, and HH located in formal camp] Do you need a permit/document delivered by site management workers or local authorities to enter and leave the camp at all times?","Idan haka ne, idan sansani ne da kuke zaune, shin kuna bukatar amincewa daga masu kula da wurin kafin ku shiga ko barin wurin a ko da yaushe?","[AA'A ro wallono maa, kuru fato d? kamfu nowata adaata lan kara ro wallono maa] izunu au Kakkadi laa na cidawu kamfu ben m?rad?n? ma wa sambi yayi suro d?n ga'am luwo ro?",,,,yes,,,${move_restriction_yn}='restriction_night' or ${move_restriction_yn}='restriction_large_group' or ${move_restriction_yn}='restriction_complete' or ${move_restriction_yn}='restriction_2km' or ${move_restriction_yn}='97',,,,,,,
select_one yndk,missing_detained_adult,Is there any ADULT in your household who is missing or being detained?,Ko akwai wani babba daga gidan ku da ya bace ko aka tsare shi?,Kam laa suro fann?m ben fatt?g?na au t?rer?na mbeji wa?,"MISSING means they don't know where the person is and cannot communicate with them. 

DETAINED means they know where they are, but they are being held against their will. ","BACEWA na nufin ba su san inda yake ba kuma ba su da damar yin magana da shi.                       TSAREWA na nufin sun san inda suke, amma an tsare su ne ba tare da son ran su ba","FATT?G?NA d? ma'anan nz? kam d? na d?gana notvnyi kuru kawuli nan nz?n rakt? tuwondin ba. 

T?RER?NA d? ma'anan nz? am nan nza not?na, amma sandiya saraanyi lan t?re ro. 
",yes,,,,,,,,,,
select_multiple detain_missing_adult,missing_detained_adult_happen,Do you know what happened to that ADULT(s)?,Kun san abun da ya faru da su?,Awo kam ad? ro wa'az?g?na d? non?ma wa?,,,,yes,,,"selected(${missing_detained_adult},'yes')","not(selected(., '98') and count-selected(.)>1) and not(selected(., '99') and count-selected(.)>1) ",,,,,,
text,missing_detained_adult_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${missing_detained_adult_happen}, '97')",,,,,,,
select_one yndk,missing_detained_child,Is there any CHILD in your household who is missing or being detained?,Ko akwai wani yaro da ya bace ko aka tsare shi a gidan ku?,Tada laa fann?mben fatt?g?na au t?rer?na mbeji wa?,"MISSING means they don't know where the person is and cannot communicate with them. 

DETAINED means they know where they are, but they are being held against their will. ","BACEWA na nufin ba su san inda yake ba kuma ba su da damar yin magana da shi.                       TSAREWA na nufin sun san inda suke, amma an tsare su ne ba tare da son ran su ba","FATT?G?NA d? ma'anan nz? kam d? na d?gana notvnyi kuru kawuli nan nz?n rakt? tuwondin ba. 

T?RER?NA d? ma'anan nz? am nan nza not?na, amma sandiya saraanyi lan t?re ro. 
",yes,,,,,,,,,,
select_multiple detain_missing_child,missing_detained_child_happen,Do you know what happened to that CHILD(ren)?,Kun san abun da ya faru da su?,Awo kam ad? ro wa'az?g?na d? non?ma wa?,,,,yes,,,"selected(${missing_detained_child},'yes')","not(selected(., '98') and count-selected(.)>1) and not(selected(., '99') and count-selected(.)>1) ",,,,,,
text,missing_detained_child_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${missing_detained_child_happen}, '97')",,,,,,,
select_multiple labour_exploitation,labour_exploitation,Did any of these work experiences happen to someone from your household in this area/nearby?,Ko daga cikin 'yan gidan ku akwai wanda ya fuskanci aiki a yankin ku ko makwabta?,Na allan/g?re allan cidawa t?din ma anyi fal nza yayi kam laa ro wa'az?na wa suro fann?myen?,,,,yes,,,,,,,,,,
select_multiple labour_exploitation_who,labour_exploitation_who,"IF YES, to whom did it happen?","idan haka ne, su waye?","AA'A RO WALLONO MAA, ndu ro wa'ajo?",,,,yes,,,"not(selected(${labour_exploitation},'none') or selected(${labour_exploitation},'98') or selected(${labour_exploitation},'99'))",,,,,,,
select_multiple labour_exploitation_work,labour_exploitation_work,"IF YES, what type of work was the household member doing?",idan haka ne wane irin aiki suka yi?,"AA'A RO WALLONO MAA, cidafi kam fatoye ad? s?din?",,,,yes,,,"not(selected(${labour_exploitation},'none') or selected(${labour_exploitation},'98') or selected(${labour_exploitation},'99'))",,,,,,,
select_one yndk,human_trafficking,Have you or any member of your household been approached by someone from this camp/community with offers of employment or other opportunities either within Nigeria or outside Nigeria?,Ko wani daga sansani/garin ku ya taba yin tayin aiki ga wani dan gidan ku ko wata dama a nan gida ko wajen Nijeriya?,Suro kamfu/nguro ad?ben kam laa Najeriya ye au lard? gadebe nya naz?g? cida k?njo ro au duluwu laa k?njo ro manan nz?g?na wa?,,,,yes,,,,,,,,,,
select_multiple human_traffic,human_trafficking_what,"If yes, what kind of activities or restrictions affected the member of the household?",Kun san abun da ya faru da su?,Awo kam ad? ro wa'az?g?na d? non?ma wa?,,,,yes,,,"selected(${human_trafficking},'yes')",,,,,,,
end group,protection,,,,,,,,,,,,,,,,,
begin group,displacement,,,,,,,yes,,,${group}='idp',,,,,,,
select_one state,aoo_state,What was your pre-displacement location?,"yan wannan gida, 'yan asalin wace jiha ce?",Ndara K?rye kam fann?mbe ad?beye?,,,,yes,,minimal,${group}='idp',,,,,,,
select_one LGA,aoo_lga,What was your pre-displacement LGA? ,Yan wannan gidan 'yan asalin wace karamar hukuma ce,Ndara Hukuma Gana kam fann?mbe ad?beye?,,,,yes,State=${aoo_state},minimal,${group}='idp',,,,,,,
select_one ward,aoo_ward,What was your pre-displacement ward? ,Yan asalin wace unguwa ce?,Ndara nguro kam fann?mbe ad?beye?,,,,yes,LGA=${aoo_lga},minimal,,,,,,,,
text,aoo_settlement,What is the name of your settlement/village of pre-displacement?,Menene sunan kauye/mazaunin 'yan wannan gida?,Abi su b?la deya kam fann?mbe ad?beye?,,,,yes,,,,,,,,,,
select_one access_last,access_yn,"Since you have left your pre-displacement area, when was the last time someone from your household traveled there?","Tun bayan da kuka bar garin ku, wane lokaci ne na karshe da wani daga cikin ahalin ku ya je garin?","Kawu b?la deyan?m kolluma yaye, sabi kam laa fandobe b?la deyad?ro lez?nad??  ",,,,yes,,,,,,,,,,
select_one yndk,access_aoo,Are you or others from your community CURRENTLY able to move between your pre-displacement area and your current location?,Kana iya ko wani daga cikinku yin zirga-zirga tsakanin kauyenku da wajen da kuke a yanzu?,Nyi  au am gade yaye b?la deyan?mbe  kate b?la deyad?-a nan?m k?rmaro d?gama-an  rakn?u len?u is?win wa?,,,,yes,,,,,,,,,,
select_multiple aoo_why,access_aoo_why,"If yes, why do people from your community return?","Idan haka ne, meyasa mutane daga yankin ku suka dawo?","Z?awud? aa-ro wollonoga, abiro am b?lan?mbe wallata?",,,,yes,,,${access_aoo}='yes',"not(selected(., '98') and count-selected(.)>1) and not(selected(., '99') and count-selected(.)>1)",,,,,,
text,access_aoo_why_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${access_aoo_why}, '97')",,,,,,,
select_multiple aoo_barrier,access_aoo_barrier,"If no, what is preventing people from your community from returning?","Idan ba haka ba, mine ne babban dalilin da ya ke hana mutane daga yankin ku komawa?","Z?awud? a'a-ro wollonoga, abi am b?lan?mbega  waltaro dapso?",,,,yes,,,${access_aoo}='no',"not(selected(., '98') and count-selected(.)>1) and not(selected(., '99') and count-selected(.)>1)",,,,,,
text,access_aoo_barrier_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${access_aoo_barrier}, '97')",,,,,,,
select_one yndk,move_plans,Is your household actively making plans to leave your current location?,Ko gidan ku na yin wani kokari na barin wurin da kuke a yanzu?,Yaln?md? dawari nando k?rmaye d?gauwad? kolt?yewa sadin?,,,,yes,,,,,,,,,,
select_one plan_move_when,move_plans_when,When are you planning on doing this?,Yaushe kuka shirya yin haka,Sabiro dawari ad? diwin?,,,,yes,,,${move_plans}='yes',,,,,,,
select_one pref_location,move_plans_where,What would be your preferred – FIRST CHOICE – future location?,Wane wuri ne kuka fi son ku koma?, Ndara na duwo BURWO SAWULLAN rag?mmad??,,,,yes,,,${move_plans}='yes',,,,,,,
text,move_plans_where_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,${move_plans}='yes' and ${move_plans_where}='97',,,,,,,
select_multiple push_factors,push_firstreason,What are your top three reasons for wanting to move to another location?,wadanne manya dalilai ne guda uku da suka sanya son sauya wuri?,Abi daliwan?m dunoa yakk? duwo na gadero buroyed??,"Probe until you get three reasons. If they do not want to give all three, only select the ones they mention.","A bincika har sai an tabbatar da dalilin. Idan ba za su bada ukun gaba daya ba, a dauki ko da guda daya ne da suka bada","Ng?la ro kore har sai dalilla 3 fand?mmiya. Dalilla 3 nyiro yio ro waada maa, sai gulzana d? bas karne",yes,,,${move_plans}='yes',"count-selected(.)<=3 and not(selected(., '98') and count-selected(.)>1) and not(selected(., '99') and count-selected(.)>1)",,,,,,
text,push_firstreason_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,${move_plans}='yes' and ${push_firstreason}='97',,,,,,,
select_multiple pull_factor,pull_firstreason,What are your top three reasons for choosing your future destination?,wadanne manyan dalilai ne guda uku da suka sanya aka zabi wurin da ake son a koma?,Abi daliwan?m dunoa yakk? duwo nan?m fuwuye len?mind? kartayed??,"Probe until you get three reasons. If they do not want to give all three, only select the ones they mention.","A bincika har sai an tabbatar da dalilin. Idan ba za su bada ukun gaba daya ba, a dauki ko da guda daya ne da suka bada","Ng?la ro kore har sai dalilla 3 fand?mmiya. Dalilla 3 nyiro yio ro waada maa, sai gulzana d? bas karne",yes,,,${move_plans}='yes',"count-selected(.)<=3 and not(selected(., '98') and count-selected(.)>1) and not(selected(., '99') and count-selected(.)>1)",,,,,,
text,pull_firstreason_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,${move_plans}='yes' and ${pull_firstreason}='97',,,,,,,
select_multiple stay_factors,stay_firstreason,What are your top three reasons for wanting to stay at current location?,Menene manyan dalilai guda uka da suka sanya kuke son ku tsaya,Abi daliwan?m dunoa yakk? duwo na tamman k?nd?gaye?,"Probe until you get three reasons. If they do not want to give all three, only select the ones they mention.","A bincika har sai an tabbatar da dalilin. Idan ba za su bada ukun gaba daya ba, a dauki ko da guda daya ne da suka bada","Ng?la ro kore har sai dalilla 3 fand?mmiya. Dalilla 3 nyiro yio ro waada maa, sai gulzana d? bas karne",yes,,,${move_plans}='no',"count-selected(.)<=3 and not(selected(., '98') and count-selected(.)>1) and not(selected(., '99') and count-selected(.)>1)",,,,,,
text,stay_firstreason_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"${move_plans}='no' and selected(${stay_firstreason}, '97')",,,,,,,
end group,displacement,,,,,,,,,,,,,,,,,
begin group,wash,,,,,,,,,,,,,,,,,
note,washnote,"For this next section, we are going to ask you about your household's water collection, consumption, latrines and garbage. 

It would be helpful for whoever collects water regularly in your house to help answer some of the questions. Please ask that person to come. ","Wannan sashin kuma za mu yi tambaya kan wajen debo ruwa a gidan ku, da bahaya, da kuma wuraren zuba shara.

Zai fi kyau idan mun samu wanda yake debo muku ruwa ko yaushe a gidan don ya amsa mana tambayoyin. idan akwai shi muna son ya zo.","Sana  fuwubed?ro, futu fann?mbe nji tapta-a k?nza-a, ngawudi-a ng?pdola-ayen nyiga koren.",,,,,,,,,,,,,,
select_multiple water_source,water_source_main,What are all the water sources your household used in the last 30 days for your household needs?,Wadannen irin hanyoyi ne kuke samar da ruwa a gidan ku a cikin kwana 30 da suka wuce?,Kawu 30 koz?nad?n ndarason nji fatobe tapkau?  ,"Household needs means water for drinking, personal hygiene and cooking","Ko wane gida na bukatar ruwa domin sha, da tsaftar jiki, da kuma girki","M?radea fato ye gultiya nji k?nza ye-a, n?m ng?la tii ye-a, b?ri det? nan ka ro-a.",yes,,,,"not(selected(., '98') and count-selected(.)>1) and not(selected(., '99') and count-selected(.)>1)",,,,,,
text,water_source_main_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${water_source_main}, '97')",,,,,,,
select_multiple get_water_who,get_water_who,Who usually fetches water for the household?,Wane ne ya fi debo ruwa a gidan?,Ng?wusoro ndu nji fann?mbe tapcin?,,,,yes,,,,,,,,,,
text,get_water_who_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,,,,"selected(${get_water_who},'97')",,,,,,,
select_multiple fetch_prob_main,fetch_prob_main,What are the problems your household has with fetching water?,Wace matsala gidan ku ke fuskanta wajen dibar ruwan??,Fann?md? nji taptalan kaz?yiwa jilibiso sawandin? ,,,,yes,,,,"not(selected(.,'no_problem') and count-selected(.) >1) and not(selected(.,'99') and count-selected(.) >1) and not(selected(.,'98') and count-selected(.) >1)",,,,,,
text,fetch_prob_main_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${fetch_prob_main}, '97')",,,,,,,
select_one water_time,water_time,"How long does it take to collect water from your main water source, including traveling back and forth and queuing time?","Tsawon wane lokaci ake dauka GABA DAYA daga wajen samun ruwan kama tun daga zuwa da dawowa, da kuma bin layin dibar ruwan.",Na nji tapn?wuind?n nji tapn?u IS?WUI GULLUMIYA sa ndawu. Len?m are-a lairo gawo-an kunten?,Main water source is where they get the majority of their household water,Babban wurin dibar ruwa shi ne wurin da gidan suke debo yawancin ruwansu,Na nji taptaye muhimmi d? shima na do nji fatoye ng?wu so shi lan tuwandin d?.,yes,,,,,,,,,,
integer,num_containers,How many different containers did you use to collect water from a water point in the last week?,Abun daukar ruwa nawa kuka yi amfani da shi wajen dibar ruwa a makon da ya gabata?,Mag? koz?nad?n kalwowa ndawu nji taptaro faidat?m,[Please use the job aid card to identify ALL containers the household uses to collect water],[Please use the job aid card to identify ALL containers the household uses to collect water],[Please use the job aid card to identify ALL containers the household uses to collect water],yes,,,"not(selected(${water_time},'at_hh'))",.<25,You entered an unrealisticly high number of containers. Please recheck,Ka shigar da yawancin tafiye-tafiye marasa daidaituwa don cika wannan akwati. Don Allah sake dubawa.,Adadu awo-a nji tabtaye d? ng?wu zauro k?la ma ro gayin ba ma ikk?m. Mart?ne walt?ne wune,,,
begin repeat,container,,,,,,,,,field-list,,,,,,${num_containers},,
integer,volume_ct,What is the volume of this container in LITRES?,Yaya yawan litar yake?,Kalwod? LITA ndawu?,In litres,In litres,In litres,yes,,,,.<=100,You entered an unrealistically high volume for this container. Please recheck,Ka shigar da yawancin tafiye-tafiye marasa daidaituwa don cika wannan akwati. Don Allah sake dubawa.,Adadu ngal suro awo shi lan nji got?ye d? zauro ng?wu ikk?m Mart?ne walt?ne wune,,,
integer,num_filled_ct,How many times was this container filled yesterday (or the last time water was collected)?,Sau nawa aka cika wurin aje ruwan a jiya (ko kuma lokaci na karshe da aka zuba ruwan)?,Bika kalwo ad? ndawuro cimbuliu(au nji daryeye tapn?uwad??,,,,yes,,,,.<25,You entered an unrealistically high number of trips for filling this container. Please recheck.,Ka shigar da yawancin tafiye-tafiye marasa daidaituwa don cika wannan akwati. Don Allah sake dubawa.,Adadu do shi-a dimma ye ikk?mma d? zauro ng?wu awo ad? yimburo d? ro Mart?ne walt? ne wune,,,
end repeat,container,,Abun diban ruwan,,,,,,,,,,,,,,,
select_one container_drinking,container_drinking,"Do you have a separate container to store drinking water?
",Kuna da wata ma'ajiya ta daban da kuke ajiye ruwan sha?                                                                                                                                                                                            ,Kalwon?m gade nji g?nat?ye mbeji wa? ,"[Please show me the container used for drinking water storage] Notes for enumerator: Narrow-necked or covered water containers include jerricans and buckets with tight-filling lid and tap or pouring hole, so as to prevent people from putting their hands or contaminated objects into the container. Container should be clean in the sense of being free from visible dirt and should have been washed within the last week.Is it possible to ask, if not, why?","[Nuna mini ma'ajiyar da kuke ajiye ruwan sha] Abun lura ga mai tambaya: Mazuban ruwa masu kananan baki kamar jarka, da bokotin da ake kulle samansa da karamar kofar da ake zuba ruwa, domin hana mutane sanya hannun su, ko wasu abubuwa masu datti, don kare ruwan daga datti, sannan kuma a rika wanke ma'ajiyar ruwan da aka yi amfani da ita a cikin mako guda. ko za'a iya tambaya meyasa haka?","[Mart?ne wuro awo nji k?nza ye suro d?n g?nanuwi d? f?leene) Koromaro Kawuli: Awo-a nji g?nat? ye dau sarsarra au zakkata d? sandi ma jerkan so bakati cia k?r?p ro zakt?yin ma sau wande kamme mukko s?kk?nyi au awo laa batti suro d?ro wande kolzaa nyi ro. Awo nji g?nat? ye d? kadau turin ma ba ro walz? kuru suro mau koz?na ad? yen tult?na ro walz?. Monz? tuworinna, monjin ba maa ai nanka ro?",yes,,,,,,,,,,
select_one wash_hand,wash_hand,"Do you wash your hands?
","Kuna wanke hannayenku?                                                                                                                                                                                                                                                                                                 A lura da samuwar sabulu ko madadin sa, idan mai bada amsa ya kasa nuna shi cikin minti daya da wani abu, kar a lissafa da shi.","Mukkon?m tullumin wa? Shawul au susunz?ro, rumaye suro minti fallen surunyiya njes?ne.","Verify presence of soap or substitute, if respondent cannot locate it within a minute or so it should be discounted","A lura da samuwar sabulu ko madadin sa, idan mai bada amsa ya kasa nuna shi cikin minti daya da wani abu, kar a lissafa da shi.","Tawatk?ne shawul au awo gade mbei la ba ro, koro zaabt?ma ye suro minti fal yen maz? suwand? nyi maa ba ro got?.",yes,,,,,,,,,,
select_one yndk,wash_hand_yesterday,"IF YES, have you done it today or yesterday?","IDAN EH NE, an wanke a yau ko jiya?","Z?AWUD? AA-ro wollonoga, ku au bika tulluma wa?",,,,yes,,,"not(selected(${wash_hand},'dont_wash_hand') or selected(${wash_hand},'98') or selected(${wash_hand},'99'))",,,,,,,
select_multiple wash_hand_when,wash_hand_when,"IF YES, when did you do it?","IDAN EH NE, yaushe aka yi?","Z?AWUD? AA-ro wollonoga, sabi tullam?",,,,yes,,,"selected(${wash_hand_yesterday},'yes')",,,,,,,
select_one location_defecate,adult_defecate,Where do adult members of this household defecate?,Ina ne manya a cikin gidan nan suke yin ba haya?, Am kurawa fatobed? ndaran n?ng?di sadin?,,,,yes,,,,,,,,,,
text,adult_defecate_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${adult_defecate},'97')",,,,,,,
select_one location_defecate,child_defecate,Where do children members of this household defecate?,Ina ne yaran gida ke yin ba haya?, Am kurawa fatobed? ndaran n?ng?di sadin?,,,,yes,,,,,,,,,,
text,child_defecate_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${child_defecate},'97')",,,,,,,
